paragraph,label,query,output,error,temporal_relation,paraphrases
", ""the complaint attached as exhibit 1 on its face, or within its four corners, meets the good cause standard described above. giving specific examples, the complaint sets out the spurious reasons for this repeated first-class air travel houston at iam expenses. none of the casual, often vague reasons explain why such travel had anything to do with her official responsibilities as the second highest ranking union officer, in charge of the iam financial affairs. and the conduct here is especially egregious because, under the iam constitution, she case 8:24-cv-00454-dkc document 1 filed 02/15/24 page 4 of 8 5 has a special obligation as general secretary treasurer to protect the union treasury and the membership from such misappropriation. among other purposes for this travel, defendant cervantes has nothing to do with collective bargaining, has no need to attend the local meetings, has no need to attend local get out the vote drives, has no need to engage in membership training, and especially has no need to do it in houston and nowhere else. upon becoming an international officer of iam, cervantes was moved at considerable iam expense to upper marlboro, maryland, where the iam has its headquarters. for iam accounting purposes, her official domicile is upper marlboro, maryland. even if her immediate family is in houston, texas, she is supposed to travel there on her own time and only at her own expense. the applicant sandra gardner learned of the misuse of union funds only in march 2021, when sito pantoja, the iam vice president at the time, obtained copies of her weekly expense reports from 2015 through united states district court for the district of connecticut women &amp; infants hospital of rhode island, plaintiff, vs. c.a. no. new england health care employees union, district 1199, seiu, defendant. women &amp; infants hospitals complaint pursuant to section 301 of the labor management relations act of 1947 (the lmra), 29 u.s.c. 185, women &amp; infants hospital of rhode island (the hospital) brings this complaint against new england health care employees union, district 1199, seiu (the union) seeking damages as a direct and proximate result of the union inducing, encouraging, and directing union members employed by the hospital to violate the parties collective bargaining agreements by engaging in a partial or complete cessation of work, strike, slowdown, or work stoppage, in addition to declaratory and injunctive relief. the union has engaged in such conduct beginning in may 2022 and as recently as march 15,"",  venue is proper in this court because the union maintains a principal office in and regularly transacts business in the district of connecticut. the duly authorized officers and case 3:23-cv-00466 document 1 filed 04/13/23 page 1 of 10 2 agents of the union are engaged in representing and acting for the employee members of the union in the district of connecticut. parties",yes,"Does the union directing union members to engage in work stoppages precedes the explicit event of union members engaging in a partial or complete cessation of work, strike, slowdown, or work stoppage?",no,yes,before,Yes.
"approximately one month later, in june 2021, ms. arvan went out onto the floor and walked past the roll tunnel. as she did so, she noticed that rivera was pushing the rolls of paper (which weigh thousands of pounds) with his hands. ms. arvan, consistent with the the companys requirement that managers intervene when they observe unsafe behavior, approached rivera to address his unsafe conduct. ms. arvan told rivera that the rolls were too heavy to be pushed with his hands. he responded that she was picking on him. ms. arvan said no, she was simply trying to have a case: 1:22-cv-00174-sjd doc #: 4 filed: 04/04/22 page: 7 of 16 pageid #: 111 8 safety discussion with him. ms. arvan advised rivera that he should not be pushing rolls, that his conduct was unsafe and that he could get hurt. she advised him that he needed to use a roll pusher. when ms. arvan advised him that the roll actually weighed 3,700 pounds and that he needed to use a roll pusher, he became more agitated and disrespectful and rolled his eyes at ms. arvan. ms. arvan said, dont roll your eyes at me.",no,Does ms. arvan's decision to approach rivera precedes her observation of his unsafe conduct?,yes,yes,before,Yes.
"plaintiff, trachte building systems, inc. (trachte) brings this action against defendant sheet metal air, rail and transportation workers local 565 (local 565) to vacate an arbitration award (award) and amended arbitration award (amended award) entered in smart local 565 v. trachte building systems, inc., case id trachte is an employer within the meaning of the lmra, 29 u.s.c. 152(2), and is engaged in commerce or an industry affecting commerce within the meaning of 29 u.s.c. 152(6) and (7). trachte is a wisconsin corporation engaged in the design, manufacture, and erection of durable, pre-engineered, and customized steel self-storage systems. its headquarters are located at 314 wilburn road, sun prairie, wisconsin, 53590, and its operations include a production plant in sun prairie, wisconsin (the sun prairie plant). case: 3:24-cv-00018 document #: 1 filed: 01/11/24 page 1 of 6 2 13, which requires a party challenging an arbitration award in wisconsin to file such challenge within 3 months after the award is filed or delivered. trachte received the award on december 1, 2023, and the amended award on december 11,",yes,"Does trachte receiving the award on december 1, 2023 precedes trachte filing the challenge against the arbitration award within the required timeframe?",no,yes,before,Yes.
"00, not including interest of attorneys fees, costs, or interest, if, for examples, the negotiated, agreed to 80% / 100% rate system prescribed by uhcs third-party re-pricing vendor (pmcs) is honored / enforced as it should be, or even if rates prescribed by publicly available databases assessing the charges of providers of like kind within like geographies, like ahca, were utilized in the re- pricing assessment. see n. 9, supra.10 scv exhausted the pre-suit appeal process to the best of its ability, hindered by defendants wrongful refusal to provide administrative records / claim file / germane documentation required by federal codes (and / or, for that matter, like records available per insurance contract or florida statute requiring explanation / substantiation to the recipient of an adverse benefits determination, here scv), in an effort to accomplish defendants doing the right thing (i.e., properly compensating scv) sans litigation, to no avail. hence, this lawsuit as scvs regrettable last resort. 10 to be clear, it is scvs position that the pmcs re-pricing contract (see ex. c) supplanted the plan documents re-pricing formula (see 26, supra) and should have dictated the re-pricing of the subject claim. if, however, this court somehow determines that the pmcs re-pricing contract is untenable, scv respectfully requests the ability to amend the complaints underpayment counts (counts ii-iv) to sound in the plan document language found in paragraph 26 above because defendants unreasonably low rate of payment did not follow fairhealth and / or geographically-oriented re-pricing databases. case 6:22-cv-00236-wwb-ejk document 1 filed 02/03/22 page 18 of 31 pageid 18 19 count i petition to compel production of the administrative record and for recovery of administrative record production failure penalty pursuant to erisa, 29 u.s.c. 1024(b), 29 u.s.c. 1132(c)(1), 29 c.f.r. this is a claim for production of the administrative record and for award of administrative record production failure penalty pursuant to title 29, united states code, section 1132(c)(1), title 29, united states code, section 1024(b), title 29, code of federal regulations, section",no,Does the court's consideration of the pmcs re-pricing contract and plan document language follows the determination of the payment rate methodology?,yes,yes,after,Yes.
", ""the complaint attached as exhibit 1 on its face, or within its four corners, meets the good cause standard described above. giving specific examples, the complaint sets out the spurious reasons for this repeated first-class air travel houston at iam expenses. none of the casual, often vague reasons explain why such travel had anything to do with her official responsibilities as the second highest ranking union officer, in charge of the iam financial affairs. and the conduct here is especially egregious because, under the iam constitution, she case 8:24-cv-00454-dkc document 1 filed 02/15/24 page 4 of 8 5 has a special obligation as general secretary treasurer to protect the union treasury and the membership from such misappropriation. among other purposes for this travel, defendant cervantes has nothing to do with collective bargaining, has no need to attend the local meetings, has no need to attend local get out the vote drives, has no need to engage in membership training, and especially has no need to do it in houston and nowhere else. upon becoming an international officer of iam, cervantes was moved at considerable iam expense to upper marlboro, maryland, where the iam has its headquarters. for iam accounting purposes, her official domicile is upper marlboro, maryland. even if her immediate family is in houston, texas, she is supposed to travel there on her own time and only at her own expense. the applicant sandra gardner learned of the misuse of union funds only in march 2021, when sito pantoja, the iam vice president at the time, obtained copies of her weekly expense reports from 2015 through united states district court for the district of connecticut women &amp; infants hospital of rhode island, plaintiff, vs. c.a. no. new england health care employees union, district 1199, seiu, defendant. women &amp; infants hospitals complaint pursuant to section 301 of the labor management relations act of 1947 (the lmra), 29 u.s.c. 185, women &amp; infants hospital of rhode island (the hospital) brings this complaint against new england health care employees union, district 1199, seiu (the union) seeking damages as a direct and proximate result of the union inducing, encouraging, and directing union members employed by the hospital to violate the parties collective bargaining agreements by engaging in a partial or complete cessation of work, strike, slowdown, or work stoppage, in addition to declaratory and injunctive relief. the union has engaged in such conduct beginning in may 2022 and as recently as march 15,"",  venue is proper in this court because the union maintains a principal office in and regularly transacts business in the district of connecticut. the duly authorized officers and case 3:23-cv-00466 document 1 filed 04/13/23 page 1 of 10 2 agents of the union are engaged in representing and acting for the employee members of the union in the district of connecticut. parties",yes,Does the misuse of union funds precedes the attachment of the complaint as exhibi?,no,yes,before,Yes.
"on november 25, 2020, the district court granted the unions summary judgment motion and denied cdrts. cdrt subsequently appealed the matter to the united states court of appeals for the sixth circuit (no. 20-6425). on september 17, 2021, however, the company and the union entered a settlement agreement that resolved the appeal. the settlement agreement is attached as exhibit d. in the settlement agreement, the parties agreed that they would arbitrate the sole issue of the calculation of backpay, as that remedy is referred to and defined in the july 24, 2019 opinion and award of arbitrator mark c. travis. they further agreed that this arbitration would be before arbitrator travis. case 3:22-cv-00386-rgj document 1 filed 07/27/22 page 4 of 9 pageid #: 4 5 the remedy award",no,Does the agreement to arbitrate the sole issue of the calculation of backpay precedes the scheduling of the arbitration before arbitrator travis?,yes,yes,before,Yes.
"rather than pursue the grievance through the contracts grievance and arbitration procedure, the union directed hospital employees to refuse to pick up extra shifts beyond their normal scheduled work. specifically, prior to the dispute over employees obligation to work holidays, employees would regularly and voluntarily pick up extra shifts beyond their normal scheduled work. but once the dispute over holiday work arose, employees stopped picking up shifts beyond their normal scheduled work. after the aforementioned dispute arose, a member of the union and a hospital employee provided to a member of the hospitals administration a text message stating, in part: per union unless you had originally picked up ot or st when it was first offered we should be giving back those hours for this coming week and they are asking us not to pick up anything through the end of may and the first 2 weeks of june because they still are not allowing people to take vacation on a holiday unless they have adequate staffing[.] upon information and belief, the references to ot and st in the text message mean overtime and straight time, respectively. the union members concerted refusal to pick up extra shifts is a violation of the contracts and has caused the hospital great hardship in achieving adequate staffing for the hospitals operations. as a result of the union and its members conduct, the hospital was forced to hire so-called traveler nurses and to pay an extraordinary premium, in the millions of case 3:23-cv-00466 document 1 filed 04/13/23 page 5 of 10 6 dollars, for adequate staffing compared with the cost to the hospital had the union not directed its members to engage in this concerted effort and had the union members picked up extra shifts as they had in the past.",no,Does the union members' concerted refusal to pick up extra shifts starts after the union directing hospital employees to refuse to pick up extra shifts and follows the dispute over holiday work?,yes,yes,after,Yes.
"the pension plan is a tax-qualified, defined benefit pension plan covered under title iv of erisa. in march 2022, as a result of a pbgc premium filing review, pbgc discovered that safety light has failed to pay required pension plan premiums since 2018 and has also failed to make required pension plan contributions since in response to this finding, pbgc commenced an investigation into safety lights failure to make necessary payments to the pension plan, pursuant to the authority granted to pbgc under 29 u.s.c. 1303(a). case 2:22-cv-04603 document 1 filed 11/17/22 page 4 of 47 5",no,Does safety light's neglect of their payment responsibilities follows their failure to make required pension plan contributions?,yes,yes,after,Yes.
"the union members concerted refusal to work is a violation of the contracts and interfered with patient care and caused the hospital damages. count i breach of contract section 301 of the lmra, 29 u.s.c. 185 the union authorized the union members concerted refusal to pick up extra shifts on holidays. upon information and belief, the union authorized the union members concerted action of storming meetings and offices during work hours. case 3:23-cv-00466 document 1 filed 04/13/23 page 7 of 10 8",yes,Does the union members' concerted refusal to work precedes the investigation into the alleged breach of contract?,no,yes,before,Yes
"approximately one month later, in june 2021, ms. arvan went out onto the floor and walked past the roll tunnel. as she did so, she noticed that rivera was pushing the rolls of paper (which weigh thousands of pounds) with his hands. ms. arvan, consistent with the the companys requirement that managers intervene when they observe unsafe behavior, approached rivera to address his unsafe conduct. ms. arvan told rivera that the rolls were too heavy to be pushed with his hands. he responded that she was picking on him. ms. arvan said no, she was simply trying to have a case: 1:22-cv-00174-sjd doc #: 4 filed: 04/04/22 page: 7 of 16 pageid #: 111 8 safety discussion with him. ms. arvan advised rivera that he should not be pushing rolls, that his conduct was unsafe and that he could get hurt. she advised him that he needed to use a roll pusher. when ms. arvan advised him that the roll actually weighed 3,700 pounds and that he needed to use a roll pusher, he became more agitated and disrespectful and rolled his eyes at ms. arvan. ms. arvan said, dont roll your eyes at me.",yes,"Does rivera rolling his eyes at ms. arvan is simultaneous with him becoming more agitated and disrespectful, and it precedes ms. arvan's advice about using a roll pusher?",no,yes,before,Yes.
", ""on or about february 19, 2021, defendants martinez, allen, blondin, wallace, bryant and galloway signed a letter endorsing defendant cervantes that cervantes posted on her campaign website. in the letter, defendants make clear that they believed that pantoja orchestrated andermans nomination and stated that pantojas actions in endorsing anderman threatens to tear our union apart at a time when our members during the campaign, defendant richard johnsen, who had been promoted to be defendant ip martinezs chief of staff, stated that pantoja would be removed from his position as gvp-transportation because of his opposition to defendant cervantes. on or about march 19, 2021, the iam provided some of the documents pantoja requested in redacted form and withheld a number of the requested weekly expense reports.\",no,Does writing the letter follows the letter being posted on defendant cervantes' campaign website?,yes,yes,after,Yes
"the union has not provided any notice to the hospital regarding any allegation by the union that the hospital is in material breach of the contracts thereby excusing the union from further performance of its obligations, and at all times relevant to this complaint, the union has continued to prosecute grievances and other rights under the contracts. case 3:23-cv-00466 document 1 filed 04/13/23 page 4 of 10 5 illegal work stoppage concerning holiday obligations the contracts provide that, because the hospital must remain open all days of the year, employees may be required to work on holidays on the terms and conditions described in the contracts. the hospital has at all times abided by these requirements in the contracts. the union disagreed with the hospitals conclusion that employees can be required to work holidays under the terms of the contracts. the union submitted a grievance over that issue, but did not pursue it.",no,Does the union's submission of a grievance over the holiday work issue precedes the union's disagreement with the hospital's interpretation of the contracts?,yes,yes,before,Yes.
", ""on or about february 19, 2021, defendants martinez, allen, blondin, wallace, bryant and galloway signed a letter endorsing defendant cervantes that cervantes posted on her campaign website. in the letter, defendants make clear that they believed that pantoja orchestrated andermans nomination and stated that pantojas actions in endorsing anderman threatens to tear our union apart at a time when our members during the campaign, defendant richard johnsen, who had been promoted to be defendant ip martinezs chief of staff, stated that pantoja would be removed from his position as gvp-transportation because of his opposition to defendant cervantes. on or about march 19, 2021, the iam provided some of the documents pantoja requested in redacted form and withheld a number of the requested weekly expense reports.\",no,Does the promotion of richard johnsen to chief of staff follows the signing of the letter endorsing cervantes?,yes,yes,after,Yes.
"ms. reed advised ms. salome to issue the written discipline and to speak with rivera (as well as the other roll tunnel operators) regarding the defaced guidelines. accordingly, ms. salome, along with clint kelch (the union steward) approached rivera to present him with the disciplinary warning and to discuss the defacement of the posted guidelines. rivera was on his clamp truck and ms. salome advised that rivera that she needed to speak with him. without stopping, rivera told her that he did not have time to speak with her (his own supervisor) because he was working and drove by her.",no,Does ms. salome advising rivera that she needed to speak with him follows rivera deciding to ignore ms. salome and continue his work?,yes,yes,after,Yes.
", ""the complaint attached as exhibit 1 on its face, or within its four corners, meets the good cause standard described above. giving specific examples, the complaint sets out the spurious reasons for this repeated first-class air travel houston at iam expenses. none of the casual, often vague reasons explain why such travel had anything to do with her official responsibilities as the second highest ranking union officer, in charge of the iam financial affairs. and the conduct here is especially egregious because, under the iam constitution, she case 8:24-cv-00454-dkc document 1 filed 02/15/24 page 4 of 8 5 has a special obligation as general secretary treasurer to protect the union treasury and the membership from such misappropriation. among other purposes for this travel, defendant cervantes has nothing to do with collective bargaining, has no need to attend the local meetings, has no need to attend local get out the vote drives, has no need to engage in membership training, and especially has no need to do it in houston and nowhere else. upon becoming an international officer of iam, cervantes was moved at considerable iam expense to upper marlboro, maryland, where the iam has its headquarters. for iam accounting purposes, her official domicile is upper marlboro, maryland. even if her immediate family is in houston, texas, she is supposed to travel there on her own time and only at her own expense. the applicant sandra gardner learned of the misuse of union funds only in march 2021, when sito pantoja, the iam vice president at the time, obtained copies of her weekly expense reports from 2015 through united states district court for the district of connecticut women &amp; infants hospital of rhode island, plaintiff, vs. c.a. no. new england health care employees union, district 1199, seiu, defendant. women &amp; infants hospitals complaint pursuant to section 301 of the labor management relations act of 1947 (the lmra), 29 u.s.c. 185, women &amp; infants hospital of rhode island (the hospital) brings this complaint against new england health care employees union, district 1199, seiu (the union) seeking damages as a direct and proximate result of the union inducing, encouraging, and directing union members employed by the hospital to violate the parties collective bargaining agreements by engaging in a partial or complete cessation of work, strike, slowdown, or work stoppage, in addition to declaratory and injunctive relief. the union has engaged in such conduct beginning in may 2022 and as recently as march 15,"",  venue is proper in this court because the union maintains a principal office in and regularly transacts business in the district of connecticut. the duly authorized officers and case 3:23-cv-00466 document 1 filed 04/13/23 page 1 of 10 2 agents of the union are engaged in representing and acting for the employee members of the union in the district of connecticut. parties",yes,Does the union directing union members to engage in work stoppages also precedes the hospital seeking damages as a direct and proximate result of the union's actions?,no,yes,before,Yes.
", ""the complaint attached as exhibit 1 on its face, or within its four corners, meets the good cause standard described above. giving specific examples, the complaint sets out the spurious reasons for this repeated first-class air travel houston at iam expenses. none of the casual, often vague reasons explain why such travel had anything to do with her official responsibilities as the second highest ranking union officer, in charge of the iam financial affairs. and the conduct here is especially egregious because, under the iam constitution, she case 8:24-cv-00454-dkc document 1 filed 02/15/24 page 4 of 8 5 has a special obligation as general secretary treasurer to protect the union treasury and the membership from such misappropriation. among other purposes for this travel, defendant cervantes has nothing to do with collective bargaining, has no need to attend the local meetings, has no need to attend local get out the vote drives, has no need to engage in membership training, and especially has no need to do it in houston and nowhere else. upon becoming an international officer of iam, cervantes was moved at considerable iam expense to upper marlboro, maryland, where the iam has its headquarters. for iam accounting purposes, her official domicile is upper marlboro, maryland. even if her immediate family is in houston, texas, she is supposed to travel there on her own time and only at her own expense. the applicant sandra gardner learned of the misuse of union funds only in march 2021, when sito pantoja, the iam vice president at the time, obtained copies of her weekly expense reports from 2015 through united states district court for the district of connecticut women &amp; infants hospital of rhode island, plaintiff, vs. c.a. no. new england health care employees union, district 1199, seiu, defendant. women &amp; infants hospitals complaint pursuant to section 301 of the labor management relations act of 1947 (the lmra), 29 u.s.c. 185, women &amp; infants hospital of rhode island (the hospital) brings this complaint against new england health care employees union, district 1199, seiu (the union) seeking damages as a direct and proximate result of the union inducing, encouraging, and directing union members employed by the hospital to violate the parties collective bargaining agreements by engaging in a partial or complete cessation of work, strike, slowdown, or work stoppage, in addition to declaratory and injunctive relief. the union has engaged in such conduct beginning in may 2022 and as recently as march 15,"",  venue is proper in this court because the union maintains a principal office in and regularly transacts business in the district of connecticut. the duly authorized officers and case 3:23-cv-00466 document 1 filed 04/13/23 page 1 of 10 2 agents of the union are engaged in representing and acting for the employee members of the union in the district of connecticut. parties",yes,"Does the union inducing, encouraging, and directing union members precedes the seeking of damages as a direct and proximate result of the union's actions?",no,yes,before,Yes.
"on september 20, 2021, bcbsil reversed its denial of benefits in a letter stating that audrey required the daily skilled nursing services requested and the services requested were covered by the plan. bcbsil then paid some, but not all, of the claims submitted by mr. lou for the period requested from january 22, 2021 through april 30, despite no change in audreys need for daily skilled nursing care and no change in the language of the plan, bcbsil did not pay any claims for daily skilled nursing services rendered to audrey from may 1, 2021 through october 31, bcbsil paid most, but not all, claims submitted for daily skilled nursing services rendered to audrey from november 1, 2021 through december 31,",no,Does the reversal of denial of benefits precedes bcbsil reviewed the case?,yes,yes,before,Yes.
", ""ten days later, by letter dated january 26, 2021, ip martinez advised pantoja that the transportation department s washington, dc office was to be closed and moved back to iam headquarters by march of 2021, even though the office was important to the functioning of the transportation department because of its proximity to the national mediation board."", \ martinez demoted tiberi because he believed that tiberi supported pantojas efforts to nominate anderman.",no,Does martinez advising pantoja about the office closure precedes tiberi supporting pantoja's efforts to nominate anderman?,yes,yes,before,Yes.
"approximately one month later, in june 2021, ms. arvan went out onto the floor and walked past the roll tunnel. as she did so, she noticed that rivera was pushing the rolls of paper (which weigh thousands of pounds) with his hands. ms. arvan, consistent with the the companys requirement that managers intervene when they observe unsafe behavior, approached rivera to address his unsafe conduct. ms. arvan told rivera that the rolls were too heavy to be pushed with his hands. he responded that she was picking on him. ms. arvan said no, she was simply trying to have a case: 1:22-cv-00174-sjd doc #: 4 filed: 04/04/22 page: 7 of 16 pageid #: 111 8 safety discussion with him. ms. arvan advised rivera that he should not be pushing rolls, that his conduct was unsafe and that he could get hurt. she advised him that he needed to use a roll pusher. when ms. arvan advised him that the roll actually weighed 3,700 pounds and that he needed to use a roll pusher, he became more agitated and disrespectful and rolled his eyes at ms. arvan. ms. arvan said, dont roll your eyes at me.",no,"Does rivera rolling his eyes at ms. arvan is simultaneous with him becoming more agitated and disrespectful, and it follows ms. arvan's advice about using a roll pusher?",yes,yes,after,Yes.
