1. Events in the passive voice,2. Nominalized events,3. Events in a subordinate clause,4. Events in a condition,5. Events that are counterfactuals,6. Events that are in direct speech,7. Events that are in indirect speech,8. Events that come with a citation,9. Events that are paraphrased,10. Dates,11. Tense of the verbs in the text,12. Aspectual markers of the verbs,13. Events that are in the future and speculative,text,11. Tense of the verbs,6. Events in direct speech,7. Events in indirect speech,4. Events that are in a condition,5. Events that are counterfactual,12. Aspectual markers,11. Tense of the veins in the text,1. Events in the passice voice
"""No""","""Yes""","""No""","""No""","""No""","""No""","""Yes""","""No""","""Yes""",[],"""Past""","""Simple""","""No""","despite defendant ip martinezs assurances to pantoja that he would help to stop the corruption at local 2198 , the executive council rejected pantoja s motion .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""several months later""","""past""","""no specific aspectual markers""","""no""",""" , "" several months later , pantoja again demanded that the iam take remedial action ; and , the executive council finally voted to impose supervision .",,,,,,,,
"""yes""","""no""","""yes""","""no""","""no""","""no""","""no""","""yes""","""no""","[""2018""]","""past tense""","""none identified""","""no""","ultimately , local lodge 2198 filed a 2018 form lm-2 with the u.s . department of labor , in which it acknowledged that there was a shortage attributable to local lodge 2198",,,,,,,,
"""yes""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""November 25, 2020""","""past""","""perfective aspect (granted, denied)""","""no""","on november 25 , 2020 , the district court granted the unions summary judgment motion and denied cdrts .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""",,"""Past Simple""","""Simple Aspect""","""no""",cdrt subsequently appealed the matter to the united states court of appeals for the sixth circuit ( no . 20 - 6425 ) .,,,,,,,,
"""yes""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""September 17, 2021""","""past""","""perfect aspect""","""no""","on september 17 , 2021 , however , the company and the union entered a settlement agreement that resolved the appeal .",,,,,,,,
"""Yes""","""Yes""","""No""","""Yes""","""No""","""No""","""No""","""Yes""","""No""","[""July 24, 2019""]","""Past Tense""","""Is attached (present), Agreed (simple past), Is referred to and defined (present passive)""","""Yes""","the settlement agreement is attached as exhibit d. in the settlement agreement , the parties agreed that they would arbitrate the sole issue of the calculation of backpay , as that remedy is referred to and defined in the july 24 , 2019 opinion and award of arbitrator mark c. travis .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","[""07/27/22""]","""past""","""none""","""no""",they further agreed that this arbitration would be before arbitrator travis . case 3:22 - cv-00386 - rgj document 1 filed 07/27/22 page 4 of 9 pageid # : 4 5 the remedy award,,,,,,,,
"""yes""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","[""September 20, 2021""]","""past""","""simple aspect""","""no""","on september 20 , 2021 , bcbsil reversed its denial of benefits in a letter stating that audrey required the daily skilled nursing services requested and the services requested were covered by the plan .",,,,,,,,
"""yes""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",,"""past""","""simple aspect""","""no""","bcbsil then paid some , but not all , of the claims submitted by mr . lou for the period requested from january 22 , 2021 through april 30 , despite no change in audreys need for daily skilled nursing care and no change in the language of the plan , bcbsil did not pay any claims for daily skilled nursing services rendered to audrey from may 1 , 2021 through october 31 , bcbsil paid most , but not all , claims submitted for daily skilled nursing services rendered to audrey from november 1 , 2021 through december 31 ,",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","[""June 2021""]","""past""","""simple""","""no""","approximately one month later , in june 2021 , ms . arvan went out onto the floor and walked past the roll tunnel .",,,,,,,,
"""no""","""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""progressive""","""no""","as she did so , she noticed that rivera was pushing the rolls of paper ( which weigh thousands of pounds ) with his hands .",,,,,,,,
"""no""","""yes""","""yes""","""yes""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""","ms . arvan , consistent with the the companys requirement that managers intervene when they observe unsafe behavior , approached rivera to address his unsafe conduct .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""yes""","""yes""","""no""","""no""",[],"""past""","""none""","""no""",ms . arvan told rivera that the rolls were too heavy to be pushed with his hands .,,,,,,,,
"""no""","""no""","""yes""","""no""","""no""","""no""","""yes""","""no""","""yes""",[],"""past""","""progressive""","""no""",he responded that she was picking on him .,,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""yes""","""no""","""yes""","""no""","[""04/04/22""]","""past""","""progressive (was trying)""","""no""","ms . arvan said no , she was simply trying to have a case : 1:22 - cv-00174 - sjd doc # : 4 filed : 04/04/22 page : 7 of 16 pageid # : 111 8 safety discussion with him .",,,,,,,,
"""no""","""no""","""no""","""yes""","""no""","""no""","""yes""","""no""","""no""",[],"""past""","""past indicative""","""yes""","ms . arvan advised rivera that he should not be pushing rolls , that his conduct was unsafe and that he could get hurt .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","""no""",[],"""past""","""none""","""no""",she advised him that he needed to use a roll pusher .,,,,,,,,
"""no""","""no""","""yes""","""no""","""no""","""no""","""yes""","""no""","""no""",[],"""past tense""","""simple aspect""","""no""","when ms . arvan advised him that the roll actually weighed 3,700 pounds and that he needed to use a roll pusher , he became more agitated and disrespectful and rolled his eyes at ms . arvan .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""yes""","""no""","""no""","""no""",[],"""imperative""","""none""","""no""","ms . arvan said , do nt roll your eyes at me .",,,,,,,,
"""yes""","""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","[""June 17""]","""past""","""none""","""no""","the new policy , which was facially discriminatory based on age , was approved by the defendants on the executive counsel on or shortly after june 17 , at the time the new policy was approved by the executive council , all of the defendants on the executive council planned on retiring at age 65 and , as a result , knew that pantoja was the only member of the executive council that would be adversely affected by the policy .",,,,,,,,
"""yes""","""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""",the new policy was aimed at removing pantoja because he had exercised his right to free speech under the lmrda .,,,,,,,,
"""yes""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","[""April 1, 2022""]","""past""","""simple aspect""","""no""","e. pantojas removal from elected office on april 1 , 2022 pursuant to the mandatory retirement policy",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""yes""","""no""","""no""","""February 19, 2021""","""past""","""perfective""","""no""",", "" on or about february 19 , 2021 , defendants martinez , allen , blondin , wallace , bryant and galloway signed a letter endorsing defendant cervantes that cervantes posted on her campaign website .",,,,,,,,
"""yes""","""yes""","""no""","""no""","""no""","""yes""","""yes""","""no""","""yes""",[],"""past""","""completed action (perfect)""","""no""","in the letter , defendants make clear that they believed that pantoja orchestrated andermans nomination and stated that pantojas actions in endorsing anderman threatens to tear our union apart at a time when our members during the campaign , defendant richard johnsen , who had been promoted to be defendant ip martinezs chief of staff , stated that pantoja would be removed from his position as gvp - transportation because of his opposition to defendant cervantes .",,,,,,,,
"""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","[""March 19, 2021""]","""past""","""simple""","""no""","on or about march 19 , 2021 , the iam provided some of the documents pantoja requested in redacted form and withheld a number of the requested weekly expense reports.\",,,,,,,,
"""yes""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""Present""","""Simple aspect""","""no""",", "" the complaint attached as exhibit 1 on its face , or within its four corners , meets the good cause standard described above .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present""","""none""","""no""","giving specific examples , the complaint sets out the spurious reasons for this repeated first - class air travel houston at iam expenses .",,,,,,,,
"""yes""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""Past""","""none indicated""","""no""","none of the casual , often vague reasons explain why such travel had anything to do with her official responsibilities as the second highest ranking union officer , in charge of the iam financial affairs .",,,,,,,,
"""no""","""yes""","""no""","""yes""","""no""","""no""","""no""","""yes""","""no""","[""02/15/24""]","""present""","""present progressive""","""no""","and the conduct here is especially egregious because , under the iam constitution , she case 8:24 - cv-00454 - dkc document 1 filed 02/15/24 page 4 of 8 5 has a special obligation as general secretary treasurer to protect the union treasury and the membership from such misappropriation .",,,,,,,,
"""no""","""yes""","""no""","""no""","""yes""","""no""","""no""","""no""","""no""",[],"""present""",[],"""no""","among other purposes for this travel , defendant cervantes has nothing to do with collective bargaining , has no need to attend the local meetings , has no need to attend local get out the vote drives , has no need to engage in membership training , and especially has no need to do it in houston and nowhere else .",,,,,,,,
"""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""","upon becoming an international officer of iam , cervantes was moved at considerable iam expense to upper marlboro , maryland , where the iam has its headquarters .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present""","""none""","""no""","for iam accounting purposes , her official domicile is upper marlboro , maryland .",,,,,,,,
"""no""","""no""","""no""","""yes""","""no""","""no""","""no""","""no""","""no""",[],"""present""","""modal aspect (is supposed)""","""yes""","even if her immediate family is in houston , texas , she is supposed to travel there on her own time and only at her own expense .",,,,,,,,
"""yes""","""yes""","""no""","""no""","""no""","""no""","""yes""","""yes""","""no""","[""March 2021"", ""2015""]","""past""","""simple past""","""no""","the applicant sandra gardner learned of the misuse of union funds only in march 2021 , when sito pantoja , the iam vice president at the time , obtained copies of her weekly expense reports from 2015 through united states district court for the district of connecticut women & amp ; infants hospital of rhode island , plaintiff , vs. c.a . no . new england health care employees union , district 1199 , seiu , defendant .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""yes""","""yes""","""no""","[""1947""]","""present""",[],"""no""","women & amp ; infants hospitals complaint pursuant to section 301 of the labor management relations act of 1947 ( the lmra ) , 29 u.s.c . 185 , women & amp ; infants hospital of rhode island ( the hospital ) brings this complaint against new england health care employees union , district 1199 , seiu ( the union ) seeking damages as a direct and proximate result of the union inducing , encouraging , and directing union members employed by the hospital to violate the parties collective bargaining agreements by engaging in a partial or complete cessation of work , strike , slowdown , or work stoppage , in addition to declaratory and injunctive relief .",,,,,,,,
"""no""","""no""","""no""","""yes""","""no""","""no""","""no""","""no""","""no""",,"""present perfect (has engaged), present simple (is, maintains, transacts)""","""has engaged (perfect aspect marker 'has')""","""no""","the union has engaged in such conduct beginning in may 2022 and as recently as march 15 , "" ,   venue is proper in this court because the union maintains a principal office in and regularly transacts business in the district of connecticut .",,,,,,,,
