1. Events in the passive voice,2. Nominalized events,3. Events in a subordinate clause,4. Events in a condition,5. Events that are counterfactuals,6. Events that are in direct speech,7. Events that are in indirect speech,8. Events that come with a citation,9. Events that are paraphrased,10. Dates,11. Tense of the verbs in the text,12. Aspectual markers of the verbs,13. Events that are in the future and speculative,text,6. Events in direct speech,7. Events in indirect speech,11. Tense of the verbs,12. Aspectual markers,4. Events that are in a condition,"12. Aspectual markers of the verbs"": {""was"
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""perfective""","""no""",All the sudden she got lost.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""",It upset her.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""had to rely""","""no""",She had to rely on her gps.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""",It took five hours to get home. ,,,,,,
"""no""","""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""perfective""","""no""",The guy who saved my car had acted quickly.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""",We decided to fish together and pool our knowledge.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present""","""habitual aspect (like to hang out)""","""no""",The fish like to hang out in a weedy area of the lake.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""",He used one side and I got the other.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""","Between use, we caught 40 bluegill.",,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""no specific marker; simple aspect""","""no""",Jay 's sister had a camera.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""no specific markers; simple past tense used""","""no""",She just left it around and did not use it.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""",Jay decided to take it for himself.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""",He started taking photos everywhere he goes.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""progressive""","""no""",He started loving photography. ,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""",The girls went to the shopping mall.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""no specific markers""","""no""",They wanted to hang out together for a little while.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""progressive (started talking)""","""no""",Three boys approached the girls and started talking to them.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""progressive""","""no""",They all ended up getting lunch together in the food court.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""simple past""","""none""","""no""",Afterwards everyone walked the mall together. ,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""",Charles needed money and payday was a week away.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""",He drove to a local clinic and applied to donate plasma.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""","After donating plasma, Charles felt weak. ",,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""",He passed out in the clinic.,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""yes""","""no""","""no""","""no""",[],"""past""","""progressive""","""no""","When he woke up, nurses were in his face and he asked for his check.",,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""",Jackson was at the lake with his family.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past continuous""","""progressive aspect""","""no""",He was having a water balloon fight with his little brother.,,,,,,
"""no""","""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""no specific markers noted""","""no""",He noticed his brother was distracted.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""","Then, he threw the balloon right at his face. ",,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","[""began (inceptive aspect)""]","""no""","His brother began to cry, and Jackson got into trouble.",,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""no specific markers""","""yes""",Dean decided he was going to prank his principle.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""",He took a carton of eggs from his fridge and headed out.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""",He arrived at his principal 's house a little after midnight.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""",After throwing two eggs his principle came outside.,,,,,,
"""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""was forced, serve""","""no""",He was forced to clean up the mess and serve detention for a month. ,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","[""ninth birthday""]","""past""","[""simple""]","""no""","On Megan 's ninth birthday, her mom surprised her.",,,,,,
"""No""","""No""","""No""","""No""","""No""","""No""","""Yes""","""No""","""No""",[],"""Past""","""none""","""Yes""",She told Megan there would still be vegetables to eat!,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""",Megan hated vegetables and she was very unhappy.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""",But then her mom pulled out a carrot cake and Rice Krispies!,,,,,,
"""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""",[],"""Past Tense""","""No specific markers""","""No""",Megan was more than happy to eat her  vegetables  that night! ,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""progressive""","""no""",Ed was learning to play poker.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""Past perfect""","""perfect aspect (had thrown)""","""no""",His friends had thrown all their cards in.,,,,,,
"""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""",[],"""Past""","""There are no explicit markers; verb 'felt' implies a state.""","""No""",Wd looked so glum that they felt sure to win.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""",But then Ed threw down his cards: full house!,,,,,,
"""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""",[],"""Past""","""Perfect Aspect (had mastered)""","""No""",They groaned to see that he had already mastered the poker face. ,,,,,,
,,,,,,,,,,,,,Ron really wanted to join the baseball team.,,,,,,
"""no""","""no""","""no""","""no""","""no""",,,"""no""","""no""",[],"""past""","""none""","""no""",But he could not throw or hit a ball at all!,"""no""","""no""",,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""",Then the coach had him catch a few.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""",Ron was a natural!,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""",He made the team right away! ,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past continuous""","""progressive (was attending)""","""no""",Kay was attending a self empowerment seminar.,,,,,,
"""yes""","""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""",[],"""no""",She was excited as the first presenter was her favorite author.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""","She sat through the opening session, rapt with attention. ",,,,,,
"""No""","""Yes""","""No""","""No""","""No""","""No""","""No""","""No""","""No""",[],"""Past""","""Simple Aspect""","""No""","By the end of the day, her head was full of great ideas. ",,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""",She went back to her hotel room to rest for the next day 's conference. ,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""""","""no""",A boy walked up to the ticket taker at the local circus.,,,,,,
"""no""","""no""","""yes""","""no""","""no""","""no""","""yes""","""no""","""no""",[],"""past""","""none""","""no""",He asked if he could get in for free because he was poor.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""",The ticket taker pitied the boy but could n't do what he wanted.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""progressive ('began to dance')""","""no""",The boy began to dance for the people in line to earn money.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""",The boy bought his ticket and gave the ticket taker a dirty look. ,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present""","""""","""no""",Barry is very tall.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""",His feet hung off his bed.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""","One day, Barry bought a very long bed. ",,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""",He slept very well that night.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""future""","""will (modal auxiliary indicating future)""","""yes""",Barry will never sleep in a normal bed again. ,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""",Maggie was a pregnant lady.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past continuous""","""progressive""","""no""",One morning she was trying to brush her teeth.,,,,,,
"""no""","""no""","""no""","""yes""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""","No matter what she did, the toothbrush made her gag. ",,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""",The more she tried the more nausea she felt.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""",She eventually gave up and just used mouthwash. ,,,,,,
"""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""",[],"""Past""","""Simple""","""No""",Dana was a new preschool teacher in Texas.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""",She loved her job and students very much.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""",Dana always kept a watchful eye over her students.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""",During nap time one student began to have a seizure.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""immediate action (reacted immediately)""","""no""",Dana reacted immediately and saved her student 's life! ,,,,,,
"""No""","""Yes""","""No""","""No""","""No""","""No""","""No""","""No""","""No""",[],"""Past""","""Simple""","""No""",Thomas was up for an award.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","""no""",[],"""past""","""none""","""no""",He thought he was a shoe in and everyone else did too. ,,,,,,
"""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""","When the name was called for the award though, it was n't his. ",,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""",Thomas felt sad but he did n't give up.,,,,,,
"""No""","""Yes""","""No""","""No""","""No""","""No""","""No""","""No""","""No""","[""Next year""]","""Past Tense""","""No specific marker""","""Yes""",Next year Thomas worked even harder and won the award. ,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""",I graduated college without job prospects.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""","Thankfully, my parents let me stay home until I found a job.",,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],,,"""no""","Alas, I could not find a job after six months of searching.",,,"""past""","[""past""]",,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past tense""","""simple aspect""","""no""",My parents understood and continued to let me live at their house.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""",I soon found a job and I thanked my parents for their support. ,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past tense""","[""saw"" - simple aspect]","""no""",Johnny saw the other kids jumping ramps with their bikes.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""no specific markers; simple past tense""","""no""",He then attempted to make some jumps himself but crashed each time.,,,,,,
"""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""",[],"""Past""","""Johnny was determined - past progressive, he practiced - simple past""","""No""",Johnny was determined to jump ramps so he practiced every day.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""",He started with small jumps and then graduated to the big ones.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""was able""","""no""",Johnny was able to out - jump the best bike jumpers. ,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""perfective""","""no""",Jake had just moved into his college dorm.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""modal (wanted) suggesting desire""","""no""",He wanted to make his study area as comfortable as possible.,,,,,,
"""yes""","""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""",The chair that was in his room was old and stiff.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""",Jake found a really nice leather computer chair on craigslist.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""was able to""","""no""",Jake was able to buy the chair for $ 50 used. ,,,,,,
"""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""","[""last week""]","""Past Simple""","""Simple Aspect""","""No""",Luke got detention at school last week.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present""","""habitual (every day)""","""no""",He has to stay after school for an hour every day.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","""no""",[],"""past""","""no specific aspect markers""","""no""",Apparently he got into a fight with another kid.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","""no""",[],"""past""","""simple aspect""","""no""",The other kid got detention too.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""",They both learned that fighting just makes things worse. ,,,,,,
"""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""",[],"""past""","""perfective aspect (completed action)""","""No""",Joe had to deliver one - hundred guns to the rebels in Carson.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""",He filled up his wagon with them and covered them with a blanket.,,,,,,
"""no""","""no""","""no""","""yes""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""","He did n't expect to be searched, so he did n't bother hiding them.",,,,,,
"""no""","""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""","When he saw the border guards, he almost ran for it.",,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""",Somehow he kept his cool and made it across. ,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""",Hannah decided to go for a walk.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""aspectual marker in 'started': inchoative (showing the beginning of an action)""","""no""",She was far away from home when it suddenly started raining.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""no specific markers; simple past tense""","""no""",Hannah ran home as fast as she could.,,,,,,
"""no""","""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""no specific markers""","""no""",When she arrived home she was soaked and freezing.,,,,,,
"""no""","""no""","""no""","""yes""","""no""","""no""","""no""","""no""","""no""",[],"""Past""","""None""","""yes""",Hannah decided she would always check the weather from now on. ,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""",I bought a new external hard drive.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""",It was large and green.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""yes""","""no""","""no""","""no""",[],"""Past""","""Simple aspect""","""no""",I was careful hooking it up.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""yes""","""no""","""no""","""no""",[],"""past""",,"""no""",I started downloading a ton of new games.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""future""","""progressive""","""yes""",It 's going to take all week for them to load. ,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""progressive (was looking)""","""yes""",Jemma was looking forward to going to the lake today.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past continuous (was going)""","""progressive aspect ('was going')""","""yes""","However, she saw that it was going to rainy today. ",,,,,,
"""no""","""no""","""no""","""no""","""yes""","""no""","""yes""","""no""","""no""",[],"""past""","""none""","""yes""","Upset, she thought about other things she could do today instead. ",,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""",She called a few of her friends and asked them to come over.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""",Jemma and her friends spent the rest of the day watching movies. ,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""",Dave was a scientist.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""yes""",Dave wanted to make a great scientific discovery.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""",Dave worked with algae to make electricity.,,,,,,
"""no""","""no""","""no""","""no""","""no""",,,"""no""","""no""",[],"""past""","""simple aspect""","""no""",Dave discovered he could make electricity with algae!,"""no""","""no""",,,,
"""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""",Dave was awarded for his great discovery. ,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""",Mary bought a ticket to see the new Star Wars movie.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","[""perfective""]","""no""",She was so excited she peed her pants!,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""no specific aspectual markers""","""no""","By the time she changed, it was too late to see the opening. ",,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""was able""","""no""",Mary was able to catch the next show.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","""yes""",[],"""past""",[],"""no""",She thought it was everything it was hyped to be. ,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""""","""past""","""simple""","""no""",Karla took care of eight children in her daycare.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""perfect aspect""","""no""",She had too many little ones to go on a walk with her double stroller.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""progressive ('began looking')""","""no""",She began looking for a stroller that would hold lots of kids.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""",She found a stroller online that could hold up to four little ones.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past, present""","""simple past, simple present""","""no""",She purchased the stroller and is able to go on walks. ,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""",Kathy did n't like Sue.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""",Kathy started rumours about Sue.,,,,,,
"""no""","""no""","""yes""","""no""","""no""","""no""","""yes""","""no""","""no""",[],"""past""","""simple aspect""","""no""",Sue found out Kathy was talking about her.,,,,,,
"""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""",[],"""Simple past""","""No specific markers indicating aspect change; 'got' is simple aspect""","""No""",Sue and Kathy got in an argument.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""",Sue never talked to Kathy again. ,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""78 years old""","""past""","""habitual (did every day)""","""no""",Frances was 78 years old and did very light workouts every day.,,,,,,
"""no""","""no""","""no""","""yes""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""",She did n't sweat so she did n't think she had to drink a lot of water.,,,,,,
"""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""","[""July 4th, 2016""]","""Past""","""Simple past""","""No""","On July 4th, 2016 it was 100 degrees out and she went for a walk. ",,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","[""simple""]","""no""",During halfway through her walk she got dizzy and fainted.,,,,,,
"""No""","""No""","""No""","""No""","""No""","""Yes""","""No""","""No""","""No""",[],"""Past""","""Simple aspect""","""No""",She woke up in the ER and the Doctors told her she was dehydrated. ,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""",Max was on his school bus.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past progressive""","""progressive aspect""","""no""",He was starting to notice a weird smell.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""",Other kids on the bus started noticing it as well.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""progressive""","""no""",Soon everyone was trying to figure out the source of the smell.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""",Then they discovered some old food left under a seat. ,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past progressive""","""progressive""","""no""",Tom was doing a report on Jewish culture.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""",He decided to go to a local temple to find out more about it.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""",He stayed for a sermon and talked to people there.,,,,,,
"""No""","""Yes""","""No""","""No""","""No""","""No""","""No""","""No""","""No""",[],"""Past""","""None""","""No""",Tom heard many rich experiences.,,,,,,
"""no""","""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""",He gave a copy of his report to everyone he interviewed. ,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present""","""non-aspectual""","""no""",Brittany needs money for bills.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""",She checked her bank account but it was empty.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""",Brittany decided she needed another job.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""",Brittany decided to use Amazon Mechanical Turk!,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present""","""simple aspect""","""no""","Now, Brittany has a great job, and can pay all of her bills!",,,,,,
